startDate;endDate;micro_japanese_name;micro_italian_name;color_japanese_name;color_italian_name;color_rgb;description;details;image;theme
07/07/25;11/07/25;温風至;"""Cominciano a soffiare venti caldi""";紅色;Rosso cremisi;rgb(202, 0, 72);"""Un rosso intenso, caldo, profondo. È il colore del rossetto tradizionale, della lacca giapponese, del desiderio trattenuto, ma vivo. 
Ha dentro la forza del fuoco e la compostezza della forma.""";"""Dalle terre secche dell'Etiopia e dell'Afghanistan, attraversando deserti, montagne e secoli, il benibana 紅花 (“cartamo”)
giunse in Oriente. Portato dai mercanti lungo la Via della Seta, arrivò in Giappone, dove i suoi petali cominciarono a raccontare una
nuova storia, fatta di bellezza e tradizione.
Dal fiore si estrae un rosso acceso, con sfumature leggere di viola, un colore vivo, ma non aggressivo, come un sospiro che resta sulle dita. Già nel periodo Nara, questo rosso era usato nei cosmetici, amato per la sua morbidezza e naturalezza.
Quando si parla di beni – il rosso del cartamo – il pensiero va subito al kuchibeni, il rossetto tradizionale giapponese. Non a caso,
“mettere il rossetto” si dice proprio beni o hiku 紅を引く(letteralmente “tirare il rosso”): un gesto che è quasi un rito, una carezza tracciata con grazia sulle labbra, più dichiarazione d'animo che ornamento.
Questo colore è memoria, femminilità, cura, stile. Ha attraversato secoli e civiltà, radicandosi profondamente nella vita giapponese fino a diventare parte della lingua, del costume, dell'identità.
Il benibana è dunque molto più di un fiore: è un ponte tra culture, un simbolo di bellezza che si è fatto gesto quotidiano.
Un rosso che unisce mondi lontani, ma che sulle labbra, ancora oggi, sussurra qualcosa di intimo e senza tempo.""";/img/colors/beni.jpg;"""Un rosso di resistenza e rinascita, come il coraggio delle donne che fioriscono anche nel deserto."""
12/07/25;16/07/25;蓮始開;"""Sbocciano i  primi fiori di loto""";天壇青;Blu sacro del cielo;rgb(3, 83, 130);"""Un blu profondo e vibrante, associato al Tendan 天壇, un altare celeste o simbolo di divinità. È un blu ricco, quasi mistico, che unisce il cielo e lo spirito.
È il colore del cielo che prega.""";"""A sud della Città Proibita, nella vasta pianura di Pechino, sorge il Tiāntán, il Tempio del Cielo. Qui, durante il solstizio d'inverno,
l'imperatore cinese si rivolgeva al cielo per pregare: non solo per sé, ma per il popolo, per la terra, per il raccolto e la pace.
La Sala della Preghiera per il Buon Raccolto (Shōsai-dō) è costruita secondo l'antica cosmologia del ten'en chihō shisō 天円地方思想: il cielo è rotondo, la terra è quadrata. Il suo tetto circolare, formato da tre strati di tegole smaltate, brilla di un blu profondo, vibrante, immenso: è il Tendan-sei 天壇青 (“blu Tendan”).
Un colore che non si limita a imitare il cielo, ma sembra sciogliersi in esso, diventa cielo.
In quel blu c'è qualcosa di più di una scelta architettonica: c'è una preghiera.
Il desiderio umano, antico e persistente, di un futuro sereno, di una vita ordinata, di un equilibrio tra il cielo e la terra. Quel blu
non è solo bellezza: è invocazione. È fede. È l'intuizione che esiste qualcosa di più grande e che a quel qualcosa ci si può affidare.
E forse, anche oggi, in un mondo che sembra più complesso, ma non meno fragile, quel colore continua a parlare.
Attraverso mari, secoli, dinastie e silenzi, il Tendan-sei resta un azzurro carico di speranza, un cielo invocato con umiltà.
Un colore che non guarda in alto per allontanarsi dalla terra, ma per proteggerla.""";/img/colors/tendan.jpg;"""Un blu che respira lento, come il cielo che ascolta: colore di chi cerca, cammina, si trasforma."""
17/07/25;22/07/25;鷹乃学習;"""I giovani falchi imparano a volare""";萱草色;Color giglio selvatico;rgb(244, 157, 67);"""Un arancio dorato, caldo e morbido, ispirato ai petali del giglio diurno (kanzō 萱草), un fiore che sboccia solo per un giorno. È un colore solare, ma non accecante. Un arancio che si è lasciato addolcire dal tempo.
È il colore del fiore che vive in fretta, ma lascia il segno. Una fiamma gentile nella luce dell’estate.""";"C'è un arancione che matura piano. Una sfumatura profonda, fatta di giallo acceso appena velato da un tocco di rosso: è kanzō-iro
萱草色, il colore dei petali dell'hemerocallis (in inglese daylily), fiore che sboccia e appassisce nell'arco di un solo giorno (da cui
deriva il nome greco).
Nel periodo Heian, questo fiore effimero era legato all'impermanenza, alla malinconia. Così, anche il suo colore divenne simbolo
di lutto, un kyōshoku 凶色 (“colore funesto”). Eppure, la sua bellezza non passava inosservata. Nel Genji Monogatari, durante una
commemorazione, si legge:「萱草の袿など着タレも、をかし姿」“Anche colei che indossava un uchigi color giglio,
aveva un portamento incantevole, una grazia tutta sua.”
Una frase che unisce lutto e splendore, tristezza e grazia. Anche il dolore, se vestito con dignità, può avere la sua bellezza.
Il nome di questo fiore, nei suoi caratteri cinesi, racconta già una storia: 諼 (xuān), “dimenticare”, e 華 (huá), “fiore”. Un fiore che nasce per lenire la malinconia.
Questo colore ambivalente, sospeso tra luce e crepuscolo, tra auspicio e addio, viene così reinterpretato anche come simbolo di
consolazione. Non una negazione della tristezza, ma un invito a lasciarla scorrere via, come fa il tempo.
Kanzō-iro è quindi un colore adulto, è un arancione che conosce la fine, eppure continua a sbocciare.";/img/colors/lily.jpg;"""Un colore che consola nel silenzio, come un fiore che cresce sul ciglio del dolore: lieve, ma capace di reggere il ricordo."""
23/07/25;28/07/25;桐始結花;"""Il paulownia inizia a fiorire""";笹色;Verde bambù giovane;rgb(108, 106, 51);"""Il colore che vive una doppia vita. 
Asciutto, è verde pallido, timido, vegetale – il verde delle foglie giovani di bambù, fragile e composto. 
Bagnato, si accende di un rosso inatteso, profondo, istintivo.
È la tinta dei doppi, dei segreti, dei corpi che non obbediscono.""";"""Il sasa-iro è un verde che non nasce verde. Appare solo dopo, come un segreto svelato dall'aria. Un verde iridescente, così brillante e incantato che la stampa non riesce a catturarlo.
Eppure, nasce dal rosso, lo hon-beni 本紅, il rosso puro estratto dai petali del cartamo. Quando è bagnato, vibra di un rosso vivo e carnale; ma una volta asciutto, si trasforma magicamente in un verde profondo, con riflessi sottili e cangianti, simile al colore tenero delle foglie di bambù. Per questo, prende il nome di sasa-iro (“colore delle foglie giovani di bambù”).
Durante il periodo Bunka-Bunsei, all'inizio del XIX secolo, questo pigmento divenne un oggetto del desiderio. La sua metamorfosi, quasi alchemica, affascinò anche gli artisti ukiyo-e: Hokusai e Keisai Eisen lo catturarono nelle loro stampe, cercando di fermare, almeno per un attimo, l'incanto mutevole del colore.
Ancora oggi, la storica casa Isehan continua a produrre lo hon-beni, mantenendo viva una tradizione che non ha mai smesso di sedurre. Le labbra brillanti, intense, cangianti, come il rosso che diventa verde, non sono mai passate di moda.
Un colore che insegna che ciò che vediamo non è sempre ciò che resta.
E che la bellezza, a volte, è proprio nella trasformazione.""";/img/colors/bamboo.jpg;"""Un verde bifronte che non sa scegliersi: vive una vita sola, ma ne sente dentro un’altra – più oscura, più vera, più viva. In bilico tra il controllo e l’istinto, tra pelle e desiderio, tra chi siamo e chi temiamo di essere."""
29/07/25;02/08/25;土潤溽暑;"""La terra è umida, l'afa opprimente""";鋼色;Grigio acciaio;rgb(66, 72, 83);"""Un grigio scuro e freddo, con sfumature bluastre. È il colore del metallo temprato, delle spade affilate e del silenzio prima del movimento. Solido, tagliente, elegante.
È il grigio che non trema. Il colore del controllo.""";"""Lo hagane-iro 鋼色 è un grigio-blu che non consola né accoglie.
È un colore cupo, severo, opaco, carico di silenzio e gravità. È il grigio acciaio, così chiamato per la sua somiglianza con l'acciaio ad alto tenore di carbonio: duro, profondo, senza riflesso. Un colore che non riflette la luce, ma l'assorbe. Come fa il cielo notturno quando è limpido e impenetrabile.
È una tinta che vibra più nella letteratura che nei tessuti. Troppo intensa per essere indossata, troppo densa per scorrere su seta.
La si trova nei romanzi di Ariyoshi Sawako e Takeo Arishima, nei versi di Ishikawa Takuboku e Ryuichi Tamaki, in quelle descrizioni di cieli così vuoti da sembrare pieni:“Un cielo senza una sola nuvola, del colore dell'acciaio.”
Non è solo un'immagine: è un'atmosfera, un suono. Questo grigio-blu ha un'eco. Una risonanza grave, come di metallo percosso o pensiero trattenuto.
E il colore del cielo che non perdona, ma nemmeno dimentica. Del cielo che ci guarda senza muoversi, che non ha bisogno di stelle per essere potente.""";/img/colors/katana.jpg;"""""È il colore di chi domina il tempo: la quiete prima del colpo, l’eleganza dell’acciaio che non cerca il conflitto, ma non lo teme. Un grigio che vive tra controllo e displica."""
03/08/25;07/08/25;大雨時行;"""Grandi piogge cadono a tratti""";松葉色;Verde ago di pino;rgb(131, 154, 92);"""Un verde scuro, profondo, con una punta fredda. È il colore degli aghi del pino giapponese, sempreverde e resistente. 
Antico, sobrio, elegante come un kimono invernale.
È il verde che non cede mai. Che resiste, anche quando tutto il resto svanisce.""";"""Il matsuba-iro 松葉色 è un verde che trova nel silenzio la propria forza.
È il colore degli aghi di pino: una tonalità profonda, pacata, che ha il passo lento delle cose che durano.
Nel Makura no Sōshi Sei Shōnagon scrive dei colori delle vesti da caccia: tinte lievi, profumate d'incenso, tra cui il bianco, il porpora, il cremisi... e il verde aghi di pino. Già nell'epoca Heian, il matsuba-iro era apprezzato per i suoi toni solenni, tanto da diventare parte delle cerimonie, delle stagioni, della vita.
Il pino è un albero sempreverde, saldo, che può vivere per secoli. In Giappone, lo si considera un “albero sacro”, un luogo dove dimorano i kami (le divinità).
Secondo una leggenda, il nome matsu 松 deriva dal verbo matsu 待つ (“aspettare”): si diceva che il pino attendesse l'arrivo degli dèi.
Matsuba-iro è il colore della costanza, della venerazione silenziosa, della calma che sa aspettare.""";/img/colors/pine.jpg;"""Un verde antico che resiste al tempo, sobrio e profondo come un’antica leggenda sussurrata tra gli alberi."""
08/08/25;12/08/25;涼風至;"""Soffia la brezza fresca""";薄群青;Blu oltremare chiaro;rgb(117, 141, 196);"""Un blu delicato e slavato, come il cielo che si è perso in una bruma leggera. È la versione attenuata del blu oltremare, un'eco acquatica e silenziosa. 
È il blu che si è lasciato sfumare, che si è fatto pensiero. Il ricordo di un'onda calma sulla carta di riso.""";"""Esiste un azzurro che non è solo azzurro. È attraversato da un respiro violaceo, come se portasse dentro una memoria di crepuscolo o di silenzio d'acqua.
È il gunjō 群青 (“blu oltremare”) un colore profondo e nobile, usato fin dall'antichità nei dipinti, negli oggetti rituali, negli
ornamenti destinati a durare. Un colore che nasce dalla pietra.
La sua origine è minerale: lapislazzuli e azzurrite, pietre preziose polverizzate finemente fino a diventare pigmento. Più le pietre
veniva polverizzate, più il colore si faceva chiaro, trasformandosi in usugunjō 薄群青, una versione pallida e luminosa, ma non per
questo meno intensa.
Non si tratta di un colore semplicemente diluito: è una luce scavata nella materia, ottenuta da una lavorazione fine, paziente, quasi
devota. Era un colore raro e costoso.
Ancora oggi ci parla di qualcosa che sta tra il sacro e l'inaccessibile.
La sua lucentezza, sottile e calma, richiama la superficie immobile dell'acqua, o i petali di un fiore di loto che galleggiano sospesi
tra cielo e fango, tra il visibile e l'invisibile.""";/img/colors/bluelotus.jpg;"""Il blu che resta sulle dita dopo la poesia: un colore che sfuma tra il cielo e la carta, tra il tempo e l’anima."""
13/08/25;17/08/25;寒蝉鳴 ;"""Cantano le cicale""";鈍色;Grigio smorzato;rgb(78, 79, 82);"""Un grigio profondo e opaco, con sfumature brunite o ferrose. Pesante, quieto, austero. È il colore del metallo vecchio, del ferro dopo la battaglia.
È il grigio che ha resistito. Il silenzio temprato dal tempo.""";"""Nibi-iro 鈍色 non è un colore nel senso consueto. Non si lascia definire da una sola sfumatura. È un colore che si lascia intuire più che vedere. Un colore che si sottrae.
Nel periodo Heian, il nibi-iro veniva usato per gli abiti del lutto. Nel Genji Monogatari, si legge:
「鉛色の御衣を着て、亡き人を偲ぶ」“Vestito del grigio del lutto, rievocò nel silenzio chi non c’era più.”
Un colore che veniva indossato non per attirare lo sguardo, ma per abbassarlo. Non per esprimere dolore con forza, ma per onorarlo con compostezza.
Anche i monaci buddhisti lo adottarono per le loro vesti, rendendolo simbolo di rinuncia, umiltà, raccoglimento.
Il verbo nibumu 鈍む significa “offuscarsi”, “perdere brillantezza”. Ma in questa perdita c'è qualcosa di prezioso: la quiete che
segue l'emozione, la dignità del contenersi.
Nibi-iro non è tanto una tinta quanto un gesto interiore: l'atto di farsi da parte per rispetto, di non occupare spazio, di lasciare che il
sentimento si manifesti con sobrietà.
È il colore del cuore che sa astenersi. Del rispetto che non ha bisogno di parole. Della tristezza che non cerca pietà, ma solo
silenzio.""";/img/colors/nibi.jpg;“Il grigio che non cerca consolazione, ma solo verità. Un colore denso, di chi ha attraversato il dolore e lo indossa con dignità.”
18/08/25;22/08/25;蒙霧升降;"""Si sollevano e calano nebbie leggere""";生成り色;Color naturale;rgb(242, 225, 207);"""Un beige chiarissimo, simile al lino non trattato o alla seta non tinta. È il colore dell’origine, della materia ancora intatta, della purezza senza artificio.
È il colore di ciò che esiste prima che il mondo lo trasformi. Semplice, vero.""";"""Il kinari-iro 生成り色 è un tono chiaro che dà una sensazione di armonia e naturalezza.
È il colore della seta grezza, non tinta, lasciata così com'è venuta al mondo.
Nei dipinti su rotolo del periodo Taishō (1912-26) – come La bobina di seta di Bunzō Yoshida – questo colore appare come parte
della vita quotidiana: il tono delle mani che filano, dei gesti che durano, del tempo che non ha bisogno di essere spettacolo.
Il kinari-iro non ha un'origine nobile né antica. La sua storia nasce, piuttosto, da un'urgenza: la consapevolezza
ambientale.
Durante l'epoca Shōwa (1926-89), tra crescita industriale e crisi ecologiche, ci si rese conto che non tutto poteva essere prodotto,
replicato, tinto.
Da allora, la riscoperta dei toni naturali è diventata anche un atto etico.
Questo colore è diventato simbolo della moda sostenibile, di una bellezza che rispetta, che non sovraccarica il mondo, che sceglie
la sobrietà come forma di eleganza.
Non tutto deve cambiare per essere bello. A volte, ciò che resta com'è, è ciò che più ci somiglia.""";/img/colors/natural.jpg;"""È il colore delle cose che non hanno bisogno di apparire. Del paesaggio prima dello sguardo, della parola prima del pensiero."""
23/08/25;27/08/25;綿柎開;Sbocciano i fiori di cotone;乳白色;Color bianco latte;rgb(250, 247, 232);"""Un bianco opaco, caldo e vellutato, come il latte, la porcellana o la nebbia del mattino. Non brilla, ma avvolge.
È il bianco che non acceca. È quello che abbraccia.""";"""Il nyahaku-shoku 乳白色 è un bianco opaco, quieto, simile al latte o al siero di latte: un colore che sfuma, che accarezza.
In Giappone, questo tono morbido e lattiginoso non ha una lunga storia. Fino a non molto tempo fa, i latticini erano pressoché assenti dalla vita quotidiana e con essi anche la parola per descrivere questa tonalità. Solo in epoca moderna ha trovato un nome, ispirato al latte: un bianco nuovo, ma dal sapore antico, come qualcosa che si era sempre cercato di dire e che finalmente ha trovato voce.
Nel romanzo La notte sul treno della Via Lattea, Kenji Miyazawa scrive:「銀河というものを、まるで乳の流れたものだと云うひともあります。」“Alcuni dicono che la Via Lattea non sia altro che un fiume di latte.”
Da questa immagine nasce l'espressione poetica “il fluire del latte”, che racchiude l'essenza di questo bianco.
Non un colore, ma un'impressione: il chiarore del cielo notturno attraversato da stelle lontane, come gocce sospese in un fluido
celeste.
Questo bianco evoca morbidezza, calore, e una sorta di gratitudine muta verso ciò che la natura offre senza chiedere.
È la tenerezza di una luce non decisa, di una presenza che consola solo per il fatto di esistere.""";/img/colors/milk.jpg;"""È il colore del conforto lieve, del dono che non fa rumore. Come una carezza versata nella notte, una presenza silenziosa che illumina senza invadere."""
28/08/25;01/09/25;天地始粛;Il caldo comincia a diminuire;紺碧;Blu profondo del mare;rgb(1, 38, 67);"Un blu intenso, pieno, che vibra come il mare aperto sotto il sole. È un blu che non teme la vastità, ma la abbraccia con fierezza.
È il colore dell’oceano in pace. Immenso, ma non inquieto.";"""Il konpeki 紺碧 è un colore profondo, elegante, come l'eco di una parola antica. Nato dalla combinazione di blu (紺) e verde
(碧 • 緑).
È il colore del mare calmo, delle montagne d'estate, quando l'umidità ne sfuma i contorni. È il colore del Giappone stesso, così
come lo immaginano la memoria e la poesia.
Non a caso, questo colore ha attraversato la letteratura.
Izumi Shikibu lo legava all'idea dell'invecchiare con grazia; Okamoto Kanoko lo chiamava “il cielo pieno”, e Miyamoto Yuriko lo vedeva in monti e mari. In tutte queste immagini, il blu-verde non è solo un pigmento: è una percezione del mondo.
Una mescolanza di respiro e orizzonte.
Anche il suono stesso del suo nome – vellutato, misurato – suggerisce raffinatezza. È amato nei tessuti, nelle tinte tradizionali, nei
nomi poetici. Un colore che accompagna, che si fonde con ciò che ci circonda fino a diventare invisibile... perché è ovunque.
Osservando questa tinta, si comprende quanto profondamente il paesaggio giapponese abbia influenzato l'anima del suo popolo.
L'armonia tra verde e blu non è solo un effetto ottico: è una sensibilità. Una cultura.""";/img/colors/deep.jpg;"""Un blu profondo che respira mistero. Elegante, è l’eco del mondo prima della parola, la quiete che precede il racconto."""
02/09/25;07/09/25;禾乃登;Il riso matura;撫子色;Rosa garofano giapponese;rgb(244, 180, 204);Un rosa chiaro, tenero e gentile, ispirato al fiore nadeshiko, simbolo di grazia e delicatezza femminile. È timido, ma non fragile.È il rosa che arrossisce. Un’emozione che si fa fiore.;"""Tra le sette erbe dell'autunno, la nadeshiko (“garofano selvatico giapponese”) si distingue per la sua grazia composta, fragile solo
in apparenza.
Il suo colore, un lilla chiarissimo che sfuma nel rosa, è tenue ma vivo, come un'emozione appena affiorata.
È il colore del cuore femminile nella poesia giapponese: puro, sincero, timido e forte allo stesso tempo.
Nel Makura no Sōshi, Sei Shōnagon scrive:「なでしこは、草の花にて、いとめでたし」“Il nadeshiko è il più incantevole tra i fiori selvatici.”
Non sorprende che il nadeshiko-iro 撫子色 sia stato spesso scelto per le fodere interne dei kimono, come un segreto custodito tra
le pieghe di stoffa e del cuore.
Nel Genji Monogatari, questo colore diventa nostalgia: “Nel vedere quel colore, vado cercando la radice perduta della mia amata.”
Nel linguaggio dei fiori, nadeshiko significa “amore puro”.
Un amore che non esige, ma resta, come un batticuore leggero che non passa mai del tutto.
Come un petalo che non cade, anche quando il vento lo sfiora.""";/img/colors/garofano.jpg;"""Un rosa tenue, come un segreto sussurrato tra i fiori. È il battito lieve dell’amore puro, nascosto tra le pieghe di un kimono o di un ricordo."""